ID;Départ ;Arrivée;km;d+;d-;Heure Start;Temps;KM Total
1;Le Noirmont;Cerneux-Godat;8.63;258;217;05:00;01:15;8.63
2;Cerneux-Godat;Les Bois;10.87;539;455;06:15;01:45;19.5
3;Les Bois;Cerneux Veusil;6.8;127;76;08:00;01:00;26.3
4;Cerneux Veusil;Tramelan;15.22;413;569;09:00;02:30;41.52
5;Tramelan;Bellelay;10.18;378;340;10:30;01:00;51.7
6;Bellelay;Moutier;18.62;465;883;11:30;03:00;70.32
7;Moutier;Envelier;14.25;829;733;14:30;02:00;84.57
8;Envelier;Mervelier;8;458;518;16:30;01:30;92.57
9;Mervelier;Montsevelier;7.81;596;501;18:00;01:30;100.38
10;Montsevelier;Delémont;16.35;642;1099;19:30;02:30;116.73
11;Delémont;Ederswiller;10.2;369;220;22:45;01:30;126.93
12;Ederswiller;Lucelle;10.08;258;221;01:15;01:30;137.01
13;Lucelle;Vendlincourt;11.64;323;494;02:45;02:00;148.65
14;Vendlincourt;Damphreux;11.73;148;184;04:45;01:30;160.38
15;Damphreux;Bure;13.9;441;278;05:30;02:00;174.28
16;Bure;Grand Fontaine;12.28;165;235;07:30;01:30;186.56
17;Grand Fontaine;Roche d'or;5.89;353;77;08:30;01:00;192.45
18;Roche d'or;Mont voie;16.03;649;587;09:30;02:30;208.48
19;Mont voie;Epiquerez;9.31;530;519;12:00;02:00;217.79
20;Epiquerez;Moulin Jeanottat;8.33;171;562;14:00;01:30;226.12
21;Moulin Jeanottat;Saignelégier;7.8;635;139;15:30;02:00;233.92
22;Saignelégier;Le Noirmont;5.83;158;169;17:30;01:00;239.75
